Date,ID,plot_number,disk,AqI,AqE,tqE,AqM,tqM,maxNPQ,Year,Ta,VPD,Precip,Fsd,Ta_7day,VPD_7day,Precip_7day,Fsd_7day,Precip_7day_sum,Precip_cum
6/24/21,NAM3,37,75,0.349351092,1.94579334,1.2513,1.604698008,20.3495,3.9,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM3,37,85,0.350268058,2.328340848,2.1223,1.370004819,20.6366,4.05,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM3,37,94,0.27184931,2.761273507,1.9081,0.966281338,19.215,4,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,46,54,0.269900553,2.096679954,1.4124,1.672777353,16.0052,4.04,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,92,11,0.235197218,2.433085662,1.2827,1.38173652,18.6116,4.05,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM3,160,3,0.207718951,2.30160703,2.1685,1.024825694,22.6433,3.53,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,46,46,0.196601601,2.504401341,1.8122,1.437947251,21.807,4.14,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM3,50,55,0.147838079,2.062643255,1.3278,1.789231551,25.5091,4,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM3,50,47,0.030996691,1.924922493,0.58902,2.094081058,33.0129,4.05,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,92,20,0.264513133,2.344251016,1.1535,1.271299496,19.1853,3.88,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,137,81,0.448964918,1.749723555,1.3443,1.531157895,12.3521,3.73,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,27,37,0.301309302,1.77909673,1.2699,1.679355072,12.9152,3.76,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,46,61,0.383265515,2.156337159,1.2475,1.460101056,13.9505,4,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,137,74,0.297991278,1.842732504,1.1686,1.63911133,11.0763,3.78,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,92,6,0.288072188,2.16169109,1.7975,1.269488702,14.6621,3.72,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM30,27,29,0.257932217,2.499607326,1.0966,1.442438454,15.4395,4.2,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM10,136,21,0.389649832,2.205999017,0.94881,1.644280858,14.5132,4.24,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM10,136,15,0.255403522,2.042391986,1.0072,1.812088187,15.1677,4.11,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM10,70,59,0.386297693,2.229652434,0.90931,1.624016278,15.501,4.24,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM10,70,52,0.273317062,2.255601388,1.1301,1.610873346,15.6934,4.14,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
6/24/21,NAM10,36,15,0.2740289,2.00140504,1.4644,1.593741801,16.7221,3.87,2021,20.539375,0.4795891,31.75,14.75318362,21.86877976,0.851749573,7.3914,32.91088123,51.7398,95.1484
